image_index,box_width,box_height,x1,y1,x2,y2,class
0,176,189,226,5,402,194,green_apple
1,172,182,155,85,327,267,green_apple
2,168,180,104,75,272,255,green_apple
3,167,191,213,68,380,259,green_apple
4,168,187,255,62,423,249,green_apple
5,171,185,173,73,344,258,green_apple
6,167,186,215,89,382,275,green_apple
7,161,182,199,40,360,222,green_apple
8,168,182,249,58,417,240,green_apple
9,164,186,220,45,384,231,green_apple
10,170,190,63,87,233,277,green_apple
11,168,186,295,28,463,214,green_apple
12,173,186,16,20,189,206,green_apple
13,172,191,269,21,441,212,green_apple
14,166,187,270,51,436,238,green_apple
15,167,187,166,81,333,268,green_apple
16,173,187,243,21,416,208,green_apple
17,172,192,81,73,253,265,green_apple
18,161,184,106,61,267,245,green_apple
19,171,184,76,68,247,252,green_apple
20,169,186,28,33,197,219,green_apple
21,168,185,19,95,187,280,green_apple
22,166,188,192,66,358,254,green_apple
23,166,186,60,93,226,279,green_apple
24,169,181,109,27,278,208,green_apple
25,170,184,190,21,360,205,green_apple
26,174,183,74,21,248,204,green_apple
27,172,186,227,39,399,225,green_apple
28,171,193,84,57,255,250,green_apple
29,178,176,23,56,201,232,green_apple
30,174,186,27,23,201,209,green_apple
31,170,180,258,17,428,197,green_apple
32,168,185,110,37,278,222,green_apple
33,172,183,11,46,183,229,green_apple
34,167,177,14,26,181,203,green_apple
35,164,179,292,42,456,221,green_apple
36,172,187,18,27,190,214,green_apple
37,162,183,204,40,366,223,green_apple
38,167,188,279,61,446,249,green_apple
39,166,173,81,31,247,204,green_apple
40,168,179,30,69,198,248,green_apple
41,165,169,72,29,237,198,green_apple
42,159,173,296,44,455,217,green_apple
43,163,175,277,31,440,206,green_apple
44,164,170,271,75,435,245,green_apple
45,163,175,66,83,229,258,green_apple
46,166,172,98,85,264,257,green_apple
47,168,181,236,30,404,211,green_apple
48,168,171,185,16,353,187,green_apple
49,167,174,159,24,326,198,green_apple
50,167,178,252,17,419,195,green_apple
51,163,180,303,26,466,206,green_apple
52,172,186,30,27,202,213,green_apple
53,169,183,50,36,219,219,green_apple
54,172,180,75,38,247,218,green_apple
55,162,180,120,46,282,226,green_apple
56,171,186,30,26,201,212,green_apple
57,167,186,55,28,222,214,green_apple
58,173,179,20,54,193,233,green_apple
59,172,189,234,82,406,271,green_apple
60,176,190,129,77,305,267,green_apple
61,170,181,175,11,345,192,green_apple
62,168,180,103,13,271,193,green_apple
63,153,189,314,48,467,237,green_apple
64,168,188,114,83,282,271,green_apple
65,172,196,277,25,449,221,green_apple
66,173,185,50,83,223,268,green_apple
67,168,188,211,20,379,208,green_apple
68,171,191,64,30,235,221,green_apple
69,171,197,282,0,453,197,green_apple
70,177,189,126,73,303,262,green_apple
71,176,181,215,92,391,273,green_apple
72,180,177,113,51,293,228,green_apple
73,176,184,27,95,203,279,green_apple
74,175,194,97,82,272,276,green_apple
75,168,188,103,41,271,229,green_apple
76,174,188,109,86,283,274,green_apple
77,171,183,254,35,425,218,green_apple
78,161,185,307,63,468,248,green_apple
79,173,188,228,63,401,251,green_apple
80,169,197,98,54,267,251,green_apple
81,168,178,271,101,439,279,green_apple
82,170,179,112,33,282,212,green_apple
83,155,182,315,81,470,263,green_apple
84,175,182,52,97,227,279,green_apple
85,174,188,74,25,248,213,green_apple
86,171,185,267,17,438,202,green_apple
87,169,192,202,66,371,258,green_apple
88,128,172,341,106,469,278,green_apple
89,174,192,179,63,353,255,green_apple
90,170,180,261,99,431,279,green_apple
91,179,180,120,100,299,280,green_apple
92,178,181,64,79,242,260,green_apple
93,178,190,72,18,250,208,green_apple
94,177,187,41,40,218,227,green_apple
95,177,185,211,29,388,214,green_apple
96,169,188,299,38,468,226,green_apple
97,182,184,240,80,422,264,green_apple
98,178,173,56,106,234,279,green_apple
99,180,187,221,84,401,271,green_apple
100,174,181,296,62,470,243,green_apple
101,189,190,124,92,313,282,green_apple
102,180,190,45,61,225,251,green_apple
103,189,195,176,83,365,278,green_apple
104,178,192,152,85,330,277,green_apple
105,183,193,263,63,446,256,green_apple
106,141,190,329,77,470,267,green_apple
107,177,183,285,56,462,239,green_apple
108,183,193,62,31,245,224,green_apple
109,191,186,171,22,362,208,green_apple
110,184,189,171,68,355,257,green_apple
111,186,192,49,86,235,278,green_apple
112,186,191,253,68,439,259,green_apple
113,184,185,101,49,285,234,green_apple
114,188,180,245,103,433,283,green_apple
115,136,185,334,46,470,231,green_apple
116,167,184,304,28,471,212,green_apple
117,181,180,116,102,297,282,green_apple
118,183,193,188,76,371,269,green_apple
119,181,191,211,80,392,271,green_apple
120,180,176,290,102,470,278,green_apple
121,175,194,275,43,450,237,green_apple
122,177,182,135,96,312,278,green_apple
123,179,189,43,67,222,256,green_apple
124,174,192,98,44,272,236,green_apple
125,181,187,198,61,379,248,green_apple
126,183,202,78,56,261,258,green_apple
127,185,189,94,79,279,268,green_apple
128,177,186,198,39,375,225,green_apple
129,178,181,290,101,468,282,green_apple
130,183,187,185,26,368,213,green_apple
131,179,180,56,27,235,207,green_apple
132,156,186,312,32,468,218,green_apple
133,181,187,265,44,446,231,green_apple
134,183,184,180,80,363,264,green_apple
135,183,183,29,58,212,241,green_apple
136,178,181,107,91,285,272,green_apple
137,181,176,108,103,289,279,green_apple
138,178,184,58,88,236,272,green_apple
