image_index,box_width,box_height,x1,y1,x2,y2,class
0,115,154,330,67,445,221,lime
1,114,153,314,49,428,202,lime
2,118,158,193,86,311,244,lime
3,114,140,179,35,293,175,lime
4,116,137,191,47,307,184,lime
5,118,146,134,107,252,253,lime
6,116,145,337,89,453,234,lime
7,122,143,276,105,398,248,lime
8,115,152,230,85,345,237,lime
9,121,144,274,105,395,249,lime
10,112,140,342,68,454,208,lime
11,116,145,227,92,343,237,lime
12,113,165,182,76,295,241,lime
13,118,145,109,76,227,221,lime
14,110,141,360,111,470,252,lime
15,121,145,178,126,299,271,lime
16,124,147,180,102,304,249,lime
17,115,136,354,118,469,254,lime
18,118,146,125,50,243,196,lime
19,119,154,102,114,221,268,lime
20,125,145,266,124,391,269,lime
21,113,163,153,72,266,235,lime
22,122,137,237,110,359,247,lime
23,110,158,359,122,469,280,lime
24,123,147,172,123,295,270,lime
25,121,146,94,118,215,264,lime
26,121,139,265,59,386,198,lime
27,122,153,221,104,343,257,lime
28,118,182,199,89,317,271,lime
29,123,153,330,117,453,270,lime
30,117,140,317,37,434,177,lime
31,123,152,77,124,200,276,lime
32,117,144,222,61,339,205,lime
33,119,145,261,95,380,240,lime
34,118,160,216,73,334,233,lime
35,116,137,299,53,415,190,lime
36,114,144,274,37,388,181,lime
37,116,151,347,100,463,251,lime
38,112,143,85,38,197,181,lime
39,116,147,295,87,411,234,lime
40,124,143,312,50,436,193,lime
41,113,143,193,89,306,232,lime
42,117,178,137,45,254,223,lime
43,106,209,325,17,431,226,lime
44,113,154,163,119,276,273,lime
45,115,151,141,81,256,232,lime
46,114,156,84,118,198,274,lime
47,111,145,277,101,388,246,lime
48,112,144,93,56,205,200,lime
49,131,191,173,17,304,208,lime
50,119,155,142,114,261,269,lime
51,114,157,189,39,303,196,lime
52,129,172,132,67,261,239,lime
53,96,176,374,32,470,208,lime
54,93,128,377,88,470,216,lime
55,117,139,257,61,374,200,lime
56,116,156,292,120,408,276,lime
57,113,145,160,84,273,229,lime
58,117,143,223,80,340,223,lime
59,117,145,224,124,341,269,lime
60,115,143,341,120,456,263,lime
61,116,146,238,86,354,232,lime
62,118,146,289,86,407,232,lime
63,119,143,326,97,445,240,lime
64,119,142,176,127,295,269,lime
65,118,143,113,126,231,269,lime
66,97,138,372,66,469,204,lime
67,112,156,208,84,320,240,lime
68,112,135,343,39,455,174,lime
69,117,137,142,56,259,193,lime
70,117,137,296,38,413,175,lime
71,118,138,248,56,366,194,lime
72,113,146,106,94,219,240,lime
73,117,141,117,92,234,233,lime
74,114,143,92,68,206,211,lime
75,116,141,208,75,324,216,lime
76,119,146,127,114,246,260,lime
77,116,140,203,103,319,243,lime
78,111,153,320,58,431,211,lime
79,121,138,282,52,403,190,lime
80,123,144,329,127,452,271,lime
81,120,138,245,53,365,191,lime
82,123,146,279,81,402,227,lime
83,116,161,153,74,269,235,lime
84,119,142,129,55,248,197,lime
85,122,140,93,98,215,238,lime
86,117,138,293,60,410,198,lime
87,120,140,319,63,439,203,lime
88,122,167,284,83,406,250,lime
89,109,154,361,88,470,242,lime
